Wban Number, YearMonthDay, Time, Station Type, Maintenance Indicator, Sky Conditions, Visibility, Weather Type, Dry Bulb Temp, Dew Point Temp, Wet Bulb Temp, % Relative Humidity, Wind Speed (kt), Wind Direction, Wind Char. Gusts (kt), Val for Wind Char., Station Pressure, Pressure Tendency, Sea Level Pressure, Record Type, Precip. Total
03011,20070401,0050,AO2 ,-,SCT055                                       ,10SM   ,-,32,23,28,69  , 4   ,130,-,0  ,30.13,-,-,AA,-
03011,20070401,0150,AO2 ,-,BKN055                                       ,10SM   ,-,32,23,28,69  , 4   ,140,-,0  ,30.12,-,-,AA,-
03011,20070401,0250,AO2 ,-,OVC050                                       ,10SM   ,-,32,23,28,69  , 3   ,130,-,0  ,30.12,-,-,AA,-
03011,20070401,0350,AO2 ,-,OVC050                                       ,10SM   ,-,34,23,30,64  , 3   ,120,-,0  ,30.12,-,-,AA,-
03011,20070401,0450,AO2 ,-,BKN050                                       ,10SM   ,-,34,23,30,64  , 4   ,130,-,0  ,30.11,-,-,AA,-
03011,20070401,0550,AO2 ,-,SCT050 SCT070                                ,10SM   ,-,32,25,28,75  , 3   ,150,-,0  ,30.10,-,-,AA,-
03011,20070401,0650,AO2 ,-,SCT070                                       ,10SM   ,-,34,25,30,70  , 3   ,130,-,0  ,30.12,-,-,AA,-
03011,20070401,0750,AO2 ,-,CLR                                          ,10SM   ,-,37,27,34,67  , 4   ,140,-,0  ,30.12,-,-,AA,-
03011,20070401,0850,AO2 ,-,SCT060 BKN075                                ,10SM   ,-,41,27,36,58  , 0   ,000,-,0  ,30.13,-,-,AA,-
03011,20070401,0950,AO2 ,-,SCT060 OVC075                                ,10SM   ,-,45,23,37,42  , 0   ,000,-,0  ,30.14,-,-,AA,-
03011,20070401,1050,AO2 ,-,SCT060 OVC075                                ,10SM   ,-,46,23,37,40  , 7   ,300,-,0  ,30.14,-,-,AA,-
03011,20070401,1150,AO2 ,-,SCT060 BKN070                                ,10SM   ,-,50,23,39,35  , 0   ,000,-,0  ,30.13,-,-,AA,-
03011,20070401,1250,AO2 ,-,SCT048 SCT060 BKN080                         ,10SM   ,-,52,21,39,30  , 7   ,300,-,0  ,30.13,-,-,AA,-
03011,20070401,1350,AO2 ,-,SCT080 OVC090                                ,10SM   ,-,55,19,41,24  , 9   ,260,G,17 ,30.11,-,-,AA,-
03011,20070401,1450,AO2 ,-,BKN075 OVC085                                ,10SM   ,-,54,18,39,24  , 13  ,280,-,0  ,30.10,-,-,AA,-
03011,20070401,1550,AO2 ,-,BKN080                                       ,10SM   ,-,54,14,39,20  , 8   ,230,-,0  ,30.09,-,-,AA,-
03011,20070401,1630,AO2 ,-,CLR                                          ,10SM   ,-,54,14,39,20  , 9   ,260,G,17 ,30.09,-,-,AA,-
03011,20070401,1750,AO2 ,-,BKN075                                       ,10SM   ,-,52,16,39,24  , 7   ,280,G,14 ,30.09,-,-,AA,-
